code,description,marca,price_distributor,price_distributor_with_ipi,price_final,price_final_with_ipi,priceresale,priceresalewithipi
EC020-3AI,CABO ECG TRONCO 03 VIAS,,91.38,92.57,91.38,92.57,,
EC057-3AI,CABO ECG TRONCO 03 VIAS AHA / IEC COMPATIVEL SIEMENS DRAGER,,211.12,213.87,211.12,213.87,,
EJ051-3AI,CABO ECG TRONCO 03 VIAS COMPATIVEL MINDRAY T8,,240.77,243.90,240.77,243.90,,
EE007-5AI,CABO ECG TRONCO 05 VIAS COMPATIVEL GE,,179.01,181.34,198.90,201.49,,
EJ051-5AI,CABO ECG TRONCO 05 VIAS COMPATIVEL MINDRAY T8,,281.02,284.68,281.02,284.68,,
OMAA0001,CABO ECG TRONCO 05 VIAS OMNI 800,,96.20,97.45,96.20,97.45,,
EP055-6I,CABO ECG TRONCO 06 VIAS IEC COMPATIVEL NIHON KOHDEN,,265.97,269.43,265.97,269.43,,
VA018BCI,CABO ELETROCARDIOGRAFO COM RABICHO BANANA AHA/IEC - PHILIPS,,329.21,333.49,329.21,333.49,,
VA001BNI,CABO ELETROCARDIOGRAFO COM RABICHO BANANA IEC - NIHON BIOCARE BIONET EDAN,,238.70,241.80,298.37,302.25,,
VA008BBI,CABO ELETROCARDIOGRAFO COM RABICHO BANANA IEC/AHA - GE MARQUETTE,,312.92,316.99,347.69,352.21,,
VA001DAI,CABO ELETROCARDIOGRAFO COM RABICHO DIN IEC - NIHON KOHDEN,,187.42,189.86,234.28,237.32,,
VA008CBI,CABO ELETROCARDIOGRAFO COM RABICHO GARRA AHA/IEC - GE MARQUETTE,,295.82,299.67,328.69,332.97,,
VA020CBI,CABO ELETROCARDIOGRAFO COM RABICHO GARRA IEC - MINDRAY,,318.24,322.38,318.24,322.38,,
VA001CNI,CABO ELETROCARDIOGRAFO COM RABICHO GARRA IEC - NIHON BIOCARE BIONET EDAN,,226.65,229.60,283.32,287.00,,
OEM-V0051A,CABO ELETROCARDIOGRAFO COM RABICHO LONGO GARRA IEC - MICROMED,,464.20,470.24,464.20,470.24,,
VA018CCI,CABO ELETROCARDIOGRAFO RABICHO GARRA IEC - PHILIPS,,348.57,353.10,387.30,392.33,,
EQ056-5AI,CABO MULTI-LINK ECG 5 VIAS SPO2 TEMP COMPATIVEL DRAGER,,903.63,915.37,903.63,915.37,,
EQ091-6AI,CABO MULTI-LINK ECG 6 PINOS 5 VIAS SPO2 TEMP COMPATIVEL DRAGER,,999.49,1012.48,999.49,1012.48,,
EE-096P5I,CABO RABICHO SERIE PARA ECG TRONCO 5 VIAS COMPATIVEL GE,,378.56,383.48,378.56,383.48,,
A41,CONECTOR PNI PLASTICO A41,,6.42,6.50,8.03,8.13,,
EJ040C3I,CONJUNTO DE RABICHOS ECG ADULTO 3 VIAS IEC GARRA COMPATIVEL MINDRAY,,180.93,183.28,180.93,183.28,,
OMAB0011,CONJUNTO DE RABICHOS ECG ADULTO 5 LEADS GARRA LL,,62.53,63.34,62.53,63.34,,
EQ040C5I,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL DRAGER,,250.73,253.99,278.59,282.21,,
EJ040C5I,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL MINDRAY DRAGER,,224.76,227.68,280.95,284.60,,
EN032C5I,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS AHA/IEC GARRA COMPATIVEL NIHON KOHDEN,,212.51,215.28,212.51,215.28,,
OMAB0003,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS GARRA DIN,,90.11,91.28,90.11,91.28,,
EE051C5I-GM,CONJUNTO DE RABICHOS ECG ADULTO 5 VIAS IEC GARRA COMPATIVEL GE,,232.11,235.13,232.11,235.13,,
EQ040C6I,CONJUNTO DE RABICHOS ECG ADULTO 6 VIAS AHA/IEC GARRA COMPATIVEL DRAGER,,305.58,309.56,305.58,309.56,,
V0012M-I,ELETRODO ECG CARDIOCLIP MEDLINKET,,131.01,132.71,163.76,165.89,,
V0013C-A,ELETRODO ECG SUCÇÃO MEDLINKET,,152.69,154.67,190.86,193.34,,
OBM-SL0071A,ORGANIZADOR DE FIOS PARA CONJUNTO DE RABICHO PARA ECG,,20.63,22.64,20.63,22.64,,
391,PAPEL IMPRESSAO ECG 50MM X 22M,,11.52,11.52,14.40,14.40,,
227,PAPEL PARA ELETRO ECG-1206C MEDIKEE 110MM X 20MTS,,19.82,19.82,22.02,22.02,,
172,PAPEL TERMO SENSIVEL PARA ECG - BLOCO C/100 FLS- 216 X 280MM DIXTAL EP-3/12,,16.69,16.69,16.69,16.69,,
165,PAPEL TERMO SENSIVEL PARA ECG - ROLO - 216MM X 30M BIONET,,25.12,25.12,25.12,25.12,,
XJ43,PAPEL TERMOSSENSIVEL 80MM X 15 MTS PARA ELETROCARDIOGRAFO ECG-1203C - MEDIKEE ORIGINAL,,17.17,17.17,17.17,17.17,,
CGD-TG9045-23M,PAPEL TERMOSSENSIVEL ECG 100MM X 23M,,78.12,78.12,78.12,78.12,,
182,PAPEL TERMOSSENSIVEL ECG 80MM X 20MTS,,13.47,13.47,16.84,16.84,,
00184,PAPEL TERMOSSENSIVEL ELETRO ECG-1203C MEDIKEE 80MM X 15MTS,,12.90,12.90,16.12,16.12,,
00149,PAPEL TERMOSSENSIVEL ELETRO MAC 400/600 GE 80MM X 90M X 280 FLS,,31.97,31.97,31.97,31.97,,
148,PAPEL TERMOSSENSIVEL ELETRO MAC 800 GE 110MM X 140M X 400 FLS,,61.18,61.18,61.18,61.18,,
9903030901,SENSOR EEG ANESTESIA DESCARTAVEL ADT GE MEDLINKET,,118.03,119.56,118.03,119.56,,
ODM-DE0062D,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL CMOS DRAKE AB,,196.00,198.55,280.00,283.64,,
ODM-DE0062C,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL CMOS DRAKE PTO,,196.00,198.55,280.00,283.64,,
ODM-DE0062G,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL INSTRAMED,,196.00,198.55,280.00,283.64,,
ODM-DE0062B,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATIVEL MINDRAY,,196.00,198.55,280.00,283.64,,
ODM-DE0062H,ELETRODO ADULTO PARA DESFIBRILAÇÃO COMPATÍVEL PHILIPS,,196.00,198.55,280.00,283.64,,
ECG90A,ELETROCARDIOGRAFO PORTATIL MODELO ECG90A,,2790.96,2827.25,3101.07,3141.39,,
ECG300G,ELETROCARDIOGRAFO TRES CANAIS MODELO ECG300G,,4488.34,4546.69,4987.05,5051.88,,
1RW01-0011,MALETA PARA TRANSPORTE / CAIXA EM POLIPROPILENO PARA RESSUSCITADOR CARDIO PULMONAR,,36.04,38.39,40.05,42.65,,
ME6141,MASCARA EM SILICONE # 0 NEONATAL/INFANTIL PARA RESSUSCITADOR CARDIO PULMONAR,,9.51,10.00,9.51,10.00,,
ME6143,MASCARA EM SILICONE # 2 PEDIATRICO PARA RESSUSCITADOR CARDIO PULMONAR,,15.94,16.77,15.94,16.77,,
ME6144,MASCARA EM SILICONE # 4 ADULTO PARA RESSUSCITADOR CARDIO PULMONAR,,15.94,16.77,15.94,16.77,,
ME6145,MASCARA EM SILICONE # 5 ADULTO GRANDE PARA RESSUSCITADOR CARDIO PULMONAR,,42.56,44.78,42.56,44.78,,
AM-802,OXIMETRO DE DEDO AM-802,,116.69,118.21,116.69,118.21,,
G1B,OXÍMETRO DE PULSO G1B - GMI,,1180.00,1195.34,1180.00,1195.34,,
IRT101,TERMOMETRO DIGITAL INFRAVERMELHO,,45.45,49.88,45.45,49.88,,
GB-04005,DISTRIBUIDOR TORNEIRA 03 VIAS LUER LOCK,,3.45,3.63,3.71,3.91,,
GB-04006,DISTRIBUIDOR TORNEIRA ALTO FLUXO,,5.31,5.58,5.71,6.00,,
GB-04008,DISTRIBUIDOR TORNEIRA ALTO FLUXO VALVULADA,,17.87,18.79,19.21,20.21,,
GB-08120V,EXTENSOR 08FR X 120CM - C/TORNEIRA VALVULADA,,23.88,25.13,25.68,27.02,,
GB-12020B,EXTENSOR 12FR X 020CM - C/ TORNEIRA BI-VALVULADA,,25.68,27.02,25.68,27.02,,
GB-12060B,EXTENSOR 12FR X 060CM - C/ TORNEIRA VALVULADA,,23.88,25.13,25.68,27.02,,
GB-12060T,EXTENSOR 12FR X 060CM - C/TORNEIRA,,10.62,11.17,11.41,12.01,,
GB-12120B,EXTENSOR 12FR X 120CM - C/ TORNEIRA BI-VALVULADA,,23.88,25.13,25.68,27.02,,
GB-12120T,EXTENSOR 12FR X 120CM - C/TORNEIRA,,10.62,11.17,11.41,12.01,,
GB-08120,EXTENSOR 08FR X 120CM,,9.29,9.77,9.99,10.51,,
GB-04138,EXTENSOR 08FR X 120CM - C/3 TORNEIRAS VALVULADAS E SUPORTE,,64.21,67.54,64.21,67.54,,
GB-04158,EXTENSOR 08FR X 120CM - C/5 TORNEIRAS VALVULADAS E SUPORTE,,81.83,86.08,87.99,92.56,,
GB-04028,EXTENSOR 12FR X 020CM - C/2 TORNEIRAS VALVULADAS,,39.95,42.03,39.95,42.03,,
GB-04038,EXTENSOR 12FR X 020CM - C/3 TORNEIRAS VALVULADAS,,54.69,57.54,54.69,57.54,,
CV-50610,EXTENSOR VALVULADO 06 FR X 1 VIA,,13.71,14.42,14.74,15.51,,
CV-50620,EXTENSOR VALVULADO 06 FR X 2 VIAS,,16.59,17.45,17.84,18.76,,
CV-51220,EXTENSOR VALVULADO 12 FR X 2 VIAS,,16.59,17.45,17.84,18.77,,
2.2.31.00031,FONTE DE ALIMENTACAO ELETROCARDIOGRAFO ECG90A,,265.22,268.66,265.22,268.66,,
1.2.11.00041,MODULO DE IMPRESSORA ELETROCARDIOGRAFO ECG90A,,204.84,207.51,204.84,207.51,,
2.1.03.00429,PLACA INTERNA ELETROCARDIOGRAFO ECG90A,,940.16,952.38,940.16,952.38,,
IRJOY,ADAPTADOR INFRAVERMELHO USB IRDA 4 MBPS,,337.41,388.02,337.41,388.02,,
11141-000116,ADAPTADOR PARA CARREGADOR DE BATERIA LIFEPAK 12,,1469.42,1488.52,1469.42,1488.52,,
11103-000006,ADAPTADOR PARA ELETRODO PHILIPS,,653.60,662.10,653.60,662.10,,
11103-000005,ADAPTADOR PARA ELETRODO ZOLL,,653.60,662.10,653.60,662.10,,
21330-001176,BATERIA DE LI-ION 5.7 AH RECARREGÁVEL LIFEPAK 15,,2699.61,3003.32,2699.61,3003.32,,
11141-000112,BATERIA DE LI-ION INTERNA RECARREGAVEL LIFEPAK 20E,,3401.20,3732.82,3401.20,3732.82,,
11141-000100,BATERIA NAO RECARREGAVEL LIMNO2 LIFEPAK 1000,,5953.99,6534.50,5953.99,6534.50,,
11425-000001,BOLSA DE TRANSPORTE ACESSORIOS LIFEPAK 1000,,567.66,604.55,567.66,604.55,,
PHY08,BOLSA DE TRANSPORTE ACESSORIOS LIFEPAK 20,,95.51,101.72,95.51,101.72,,
11260-000032,BOLSA DE TRANSPORTE LIFEPAK 12,,2703.12,2878.82,2703.12,2878.82,,
11260-000018,BOLSA DE TRANSPORTE LIFEPAK 20,,1387.60,1477.80,1387.60,1477.80,,
11210-000001,BOLSA DE TRANSPORTE LIFEPAK 500,,1450.67,1544.97,1450.67,1544.97,,
21300-004576,BOLSA DE TRANSPORTE LIFEPAK CR PLUS,,648.75,690.92,648.75,690.92,,
11260-000014,BOLSA DE TRANSPORTE LIFEPAK CR PLUS TREINAMENTO,,342.40,364.65,342.40,364.65,,
21300-008049,BOTAO DE CHOQUE PARA PAS RIGIDAS LIFEPAK 20,,31.35,32.98,31.35,32.98,,
805400-00,CABO ECG 03 VIAS LIFEPAK 10 E LIFEPAK 9,,358.00,376.62,358.00,376.62,,
11111-000016,CABO ECG 03 VIAS LIFEPAK 1000,,1134.93,1193.95,1134.93,1193.95,,
11110-000029,CABO ECG 03 VIAS LIFEPAK 12 LIFEPAK 20 LIFEPAK 15,,793.48,834.74,793.48,834.74,,
11111-000020,CABO ECG 04 VIAS LIFEPAK 15 AHA,,2705.87,2846.57,2705.87,2846.57,,
11111-000019,CABO ECG 04 VIAS LIFEPAK 15 IEC,,1800.04,1893.64,1800.04,1893.64,,
11110-000103,CABO ECG 06 VIAS PRECORDIAIS LIFEPAK 12,,1108.35,1165.98,1108.35,1165.98,,
11110-000050,CABO SERIAL TRANSFERENCIA DE DADOS LIFEPAK 500,,487.00,512.33,487.00,512.33,,
11113-000004,CABO TERAPIA QUIK COMBO LIFEPAK 15,,4537.28,4773.21,4537.28,4773.21,,
11110-000040,CABO TERAPIA QUIK COMBO LIFEPAKS 12 E 20,,2776.14,2920.50,2776.14,2920.50,,
11403-000001,CARREGADOR DE BATERIA CHARGE PAK COM 02 ELETRODOS ADULTO QUIK PAK,,3607.80,3788.19,3607.80,3788.19,,
11101-000004,ELETRODO ADULTO LIFEPAK 500 TREINAMENTO KIT,,719.06,756.45,719.06,756.45,,
11250-000015,ELETRODO ADULTO LIFEPAK CR PLUS TREINAMENTO,,293.88,309.16,293.88,309.16,,
11250-000012,ELETRODO ADULTO LIFEPAK CR PLUS TREINAMENTO KIT,,892.06,938.45,892.06,938.45,,
11996-000091,ELETRODO ADULTO QUIK COMBO,,527.31,554.73,585.90,616.37,,
11996-000017,ELETRODO ADULTO QUIK COMBO REDI PAK,,557.55,586.54,619.50,651.71,,
11101-000016,ELETRODO INFANTIL PEDIATRICO COM REDUTOR DE ENERGIA PARA DEA,,2478.96,2607.87,2478.96,2607.87,,
11996-000093,ELETRODO PEDIATRICO QUIK COMBO RTS,,590.00,620.68,590.00,620.68,,
11576-000071,FONTE DE ALIMENTAÇÃO PARA LUCAS 3,,4167.24,4375.60,4167.24,4375.60,,
40402-000041,IMPRESSORA TERMICA DE 50 MM PARA LIFEPAK 20,,4387.29,4615.43,4387.29,4615.43,,
11260-000023,MALETA DE TRANSPORTE LIFEPAK 1000,,2739.16,2917.21,2739.16,2917.21,,
11130-000013,PAS RIGIDAS DESFIBRILACAO EXTERNA ADULTO LIFEPAK 9,,1500.00,1578.00,1500.00,1578.00,,
21330-001007,PORTA MODO DEA PARA LIFEPAK 20,,444.44,467.55,493.82,519.50,,
11576-000046,VENTOSAS DESCARTAVEIS PARA LUCAS 3,,119.75,121.31,119.75,121.31,,
Y000P10,BOLSA PRESSORICA 1000 ML,,178.47,180.79,223.09,225.99,,
Y000P30,BOLSA PRESSORICA 3000 ML,,187.78,190.22,234.73,237.78,,
Y000P05,BOLSA PRESSORICA 500 ML,,116.11,117.62,145.14,147.02,,
Y000R10,BOLSA PRESSORICA COM MANOMETRO REUTILIZAVEL 1000 ML,,225.16,228.08,281.45,285.10,,
Y000R05,BOLSA PRESSORICA COM MANOMETRO REUTILIZAVEL 500 ML,,191.18,193.66,238.97,242.08,,
X0016B,CABO DE PI COMPATIVEL GABMED PARA MINDRAY 12 PINOS,,253.00,256.29,253.00,256.29,,
X0015B,CABO DE PI COMPATIVEL GABMED PARA SPACELABS/MINDRAY/ DIXTAL/INSTRA/OMNI,,253.00,256.29,253.00,256.29,,
TP-HD00920-03,CABO DE PI GABMED PARA ARROW / KONTRON,,825.92,825.92,825.92,825.92,,
TP-HD00920-09,CABO DE PI GABMED PARA DATASCOPE,,701.16,701.16,701.16,701.16,,
TP-HD00920-11,CABO DE PI GABMED PARA DIXTAL/MINDRAY/DRAGER/PROLIFE/INSTRA,,653.89,653.89,653.89,653.89,,
TP-HD00920-14,CABO DE PI GABMED PARA GE MARQUETE,,685.40,685.40,685.40,685.40,,
TP-HD00920-34,CABO DE PI GABMED PARA NIHON COMEN,,921.74,921.74,921.74,921.74,,
TP-HD00920-15,CABO DE PI GABMED PARA NIHON KOHDEN REDONDO,,751.68,751.68,751.68,751.68,,
TP-HD00920-19,CABO DE PI GABMED PARA PHILIPS/HP/MINDRAY,,685.40,685.40,685.40,685.40,,
TP-HD00920-20,CABO DE PI GABMED PARA SIEMENS/DRAGER,,638.13,638.13,638.13,638.13,,
TP-HD00920-24,CABO DE PI GABMED PARA TEB/POLIGRAFO,,705.28,705.28,705.28,705.28,,
HD-003520,KIT PARA ANGIOGRAFIA MANIFOLD ON COM TRANSDUTOR HD-03520,,192.63,202.65,207.13,217.90,,
TP-00922,PLATE PARA TRANSDUTOR GABMED,,21.29,21.29,21.29,21.29,,
TP-00910,SUPORTE PARA TRANSDUTOR DE PRESSAO GABMED,,166.45,166.45,166.45,166.45,,
TP-00971,TRANSDUTOR DE PRESSAO INVASIVA C/TORNEIRA VALVULADA GABMED TP-00971,,132.70,132.70,132.70,132.70,,
HD-00970,TRANSDUTOR DE PRESSAO INVASIVA GABMED HD00970,,99.23,104.39,106.70,112.25,,
Y000S1,"BRAÇADEIRA / MANGUITO ADULTO PEQUENO REUTILIZAVEL 01 TUBO SOFT CONFORT (20,5-28 CM)",,40.55,41.08,50.69,51.35,,
OEM-Y1976L,BRAÇADEIRA / MANGUITO ADULTO PEQUENO REUTILIZAVEL 02 TUBOS SOFT CONFORT (20.5-28 CM),,35.77,36.23,35.77,36.23,,
OEM-Y1976B,BRAÇADEIRA / MANGUITO ADULTO REUTILIZAVEL 01 TUBO SOFT CONFORT (27-35 CM),,49.67,50.31,55.18,55.90,,
OEM-Y1976H,BRAÇADEIRA / MANGUITO ADULTO REUTILIZAVEL 02 TUBOS SOFT CONFORT (27-35 CM),,52.91,53.60,58.79,59.55,,
OEM-Y1976F,BRAÇADEIRA / MANGUITO INFANTIL REUTILIZAVEL 01 TUBO SOFT CONFORT (10-15 CM),,31.31,31.72,34.79,35.24,,
OEM-Y1976N,BRAÇADEIRA / MANGUITO INFANTIL REUTILIZAVEL 02 TUBOS SOFT CONFORT (10-15 CM),,35.07,35.52,35.07,35.52,,
OEM-Y1977A,BRAÇADEIRA / MANGUITO NEONATAL 1 01 TUBO (3-6 CM),,20.78,21.05,25.97,26.31,,
OEM-Y3810A,BRAÇADEIRA / MANGUITO NEONATAL 1 01 TUBO (3-6 CM) HYLINK,,13.79,13.97,13.79,13.97,,
OEM-Y1978A,BRAÇADEIRA / MANGUITO NEONATAL 1 02 TUBOS (3-6 CM),,20.83,21.10,26.03,26.37,,
OEM-Y1977B,BRAÇADEIRA / MANGUITO NEONATAL 2 01 TUBO (4-8 CM),,17.95,18.19,22.44,22.73,,
OEM-Y3810B,BRAÇADEIRA / MANGUITO NEONATAL 2 01 TUBO (4-8 CM) HYLINK,,13.79,13.97,13.79,13.97,,
OEM-Y1978B,BRAÇADEIRA / MANGUITO NEONATAL 2 02 TUBOS (4-8 CM),,17.80,18.03,22.25,22.54,,
OEM-Y1977C,BRAÇADEIRA / MANGUITO NEONATAL 3 01 TUBO (6-11 CM),,17.95,18.19,22.44,22.73,,
OEM-Y3810C,BRAÇADEIRA / MANGUITO NEONATAL 3 01 TUBO (7-11 CM) HYLINK,,13.79,13.97,13.79,13.97,,
OEM-Y1978C,BRAÇADEIRA / MANGUITO NEONATAL 3 02 TUBOS (6-11 CM),,20.54,20.81,25.68,26.01,,
